English;adcovtle;Notes (adcovtle);Data Comprehension (adcovtle);Part of Speech (adcovtle);Difficulty (adcovtle);we;Notes (we);Data Comprehension (we);Avamants Logetavys;Notes (Avamants Logetavys);Data Comprehension (Avamants Logetavys);Šelva Enkan;Notes (Šelva Enkan);Data Comprehension (Šelva Enkan);Wàmèrìʒá;Notes (Wàmèrìʒá);Data Comprehension (Wàmèrìʒá);Quərfi;Notes (Quərfi);Data Comprehension (Quərfi);Proto-Kwerfia;Notes (Proto-Kwerfia);Data Comprehension (Proto-Kwerfia);Senta Grèstilsa;Notes (Senta Grèstilsa);Data Comprehension (Senta Grèstilsa);Mēeu Gēo;Notes (Mēeu Gēo);Data Comprehension (Mēeu Gēo);Ongrèstilsa;Notes (Ongrèstilsa);Data Comprehension (Ongrèstilsa);Qsek'a;Notes (Qsek'a);Data Comprehension (Qsek'a);B´andve;Notes (B´andve);Data Comprehension (B´andve);Opetfi;Notes (Opetfi);Data Comprehension (Opetfi);Cjëmta;Notes (Cjëmta);Data Comprehension (Cjëmta);Fashiikéfa;Notes (Fashiikéfa);Data Comprehension (Fashiikéfa);peküzhí Nakiwá;Notes (peküzhí Nakiwá);Data Comprehension (peküzhí Nakiwá);Łok'aqe;Notes (Łok'aqe);Data Comprehension (Łok'aqe);Q'ucnaimxk'uł7;Notes (Q'ucnaimxk'uł7);Data Comprehension (Q'ucnaimxk'uł7);Dreeenuce;Notes (Dreeenuce);Data Comprehension (Dreeenuce);Wilakana;Notes (Wilakana);Data Comprehension (Wilakana);Çalbaça;Notes (Çalbaça);Data Comprehension (Çalbaça);Ligu magyk;Notes (Ligu magyk);Data Comprehension (Ligu magyk);Proto-North-Ovøta;Notes (Proto-North-Ovøta);Data Comprehension (Proto-North-Ovøta);çymtoçamao - 5000 BC;Notes (çymtoçamao - 5000 BC);Data Comprehension (çymtoçamao - 5000 BC);çyntoçana - 2000 BC;Notes (çyntoçana - 2000 BC);Data Comprehension (çyntoçana - 2000 BC);Proto-Çuço;Notes (Proto-Çuço);Data Comprehension (Proto-Çuço);Çúaço aʃoevújaço;Notes (Çúaço aʃoevújaço);Data Comprehension (Çúaço aʃoevújaço);Español;Français;last column (leave blank and insert to left)
to see;abið;;abið;verb;;taby;imperfect -we;taby;tabyv;;tabyv;khilte;short;khilte;;;;vəʒur;;vəʒur;viʃurot;;viʃurot;volgere;Irregular in all singular indicative forms: valgere;volgere;ivōgēe;Irregular in all singular indicative forms: ivāgāe;ivōgēe;volgere;Irregular in all singular indicative forms: valgere;volgere;fofo;;fofo;;;;;;;;;;;;;gaweyásö;;gaweyasö;;;;;;;;;;;;;;;;viðe;;viðe;kegal;;kegal;;;;;;;ebani;;ebani;oevanúj;;oevanúj;ver;voir;
from;ad;;ad;preposition;;a;;a;ædə;;ædə;;;;àwèlè;;awele;vrə;;vrə;avri;;avri;;;;;;;;;;;;;;;;;;;;;;;;;náge;;nage;;;;;;;;;;;;;;;;ap;;ap;;;;;;;;;;;;;;;;de;de;
to enter;adan;;adan;verb;;tada;imperfect -ne;tada;tædan;;tædan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iθəra;;iθəra;;;;;;;;;;;;;;;;entrar;entrer;
to decide;adecið;;adecið;verb;;tazicy;imperfect -we;tazicy;tædəikyvə;;tædəikyvə;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ðɛgerəne;;ðɛgerəne;;;;;;;;;;;;;;;;decidir;décider;
to ask;adelañate;;adelañate;erb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kəvaere;;kəvaere;;;;;;;;;;;;;;;;pedir;demande;
next to;ajéc;;ajec;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nomó;;nomo;;;;;;;;;;;;;;;;ʒykəst;;ʒykəst;;;;;;;;;;;;;;;;;;
many;amle;;amle;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;muləti;;muləti;;;;;;;;;;;;;;;;;;
verb;amvebla;;amvebla;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verəbu;;verəbu;;;;;;;;;;;;;;;;;;
in;an;;an;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bü;;bü;;;;;;;;;;;;;;;;i;;i;;;;;;;;;;;;;;;;;;
;are;active voice construction, optional;are;plavestafras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to think;aseclu;;aseclu;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ʔipθu;;ʔipθu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kugyda;;kugyda;;;;;;;;;;;;;;;;;;
water;ata;;ata;noun;;;;;;;;;;;pólò;inanimate, -;polo;pol;inanimate, -;pol;pole;inanimate;pole;as;;as;āe;;āe;ase;;ase;;;;;;;;;;;;;diispu;;diispu;ma gaké;go yazhiká;ma gake;;;;;;;;;;fawa;;fawa;;;;akəf;;akəf;tvøço;;tvøço;rø;;rø;rø;;rø;;;;;;;;;
wet;ata;;ata;adjective;;;;;;;;;;;ʃálà;;ʃala;ʃal;;ʃal;ʃala;;ʃala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;humiðu;;humiðu;;;;;;;;;;;;;;;;;;
bye;ate;;ate;interjection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aðeu;;aðeu;;;;;;;;;;;;;;;;;;
you;atle;plural;atle;pronoun;;;;;;;;;;;tó;;to;toi;plural;toi;to;;to;;;;;;;;;;;;;g´ja;;g´ja;;;;;;;;;;tu shósho;;tu šošo;;;;;;;;;;;;;;;;vo;;vo;beŋe;;beŋe;;;;;;;;;;;;;;;
bird;avia;;avia;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çenpjeta;;çenpjeta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;avy;;avy;;;;;;;;;;;;;;;;;;
cloth;baða;;baða;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paləliu;;paləliu;;;;;;;;;;;;;;;;;;
good;bagli;;bagli;adjective;;;;;;;;;;;pélà;irregular invariant form;pela;prə;irregular invariant form;prə;pri;irregular invariant form;pri;xux;;xux;ixu;;ixu;xug;;xug;;;;log´e;;log´e;;;;;;;;;;;;;;;;;;;;;;;;;;;;bou;;bou;;;;;;;;;;;;;;;;bueno;bon;
to exist;bevila;;bevila;verb;;;;;;;;;;;tórù;irregular verb;toru;təri;;təri;toriat;;toriat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ɛkəsyte;;ɛkəsyte;;;;;;;;;;;;;;;;;;
to make;bevlata;;bevlata;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;peké;irregular;peke;;;;;;;;;;;;;;;;fage;;fage;;;;;;;;;;;;;;;;;;
to do;bevlata;;bevlata;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;peké;irregular;peke;;;;;;;;;;;;;;;;fage;;fage;;;;;;;;;;;;;;;;;;
red;bliða;;bliða;adjective;;;;;;;;;;;pò;;po;;;;bot;;bot;;;;;;;;;;;;;;;;ro;;ro;;;;;;;;;;;;;;;;;;;;;;;;;rubəru;;rubəru;;;;;;;;;;;;;;;;;;
fence;bloce;;bloce;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;saɛpe;;saɛpe;;;;;;;;;;;;;;;;;;
festival;canaval;;canaval;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fetu;;fetu;;;;;;;;;;;;;;;;;;
map;capa;;capa;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;map;;map;;;;;;;;;;;;;;;;;;
four;caþ;;caþ;number;;kase;;kase;kæts;;kæts;;;;sèrà;;sera;;;;zera;;zera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kəvadue;;kəvadue;;;;;;;;;;ʒege;;ʒege;ʒóemaʒo;;ʒóemaʒo;;;
school;ceclo;;ceclo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;səkhol;;səkhol;;;;;;;;;;;;;;;;;;
tree;cleð;;cleð;noun;;klewe;oblique, dative -i;klewe;klevs;;klevs;;;;sõnò;inanimate, -;sõno;zənh;inanimate, -f;zənh;zonfe;inanimate;zonfe;rès;;rès;dēe;;dēe;trése;;trése;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arəbe;;arəbe;;;;byre;;byre;byra;;byra;;;;;;;arbol;arbe;
they;co;;co;pronoun;;;;;;;;;;;çùrò;;çuro;ʒur;;ʒur;ʝuro;;ʝuro;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;;;;;;;;;;;;;;;;;;;iləli;;iləli;gɛly;;gɛly;;;;;;;;;;;;;;;
them;co;;co;pronoun;;;;;;;;;;;çùròò;;çuroo;ʒəroi;;ʒəroi;ʝuros;;ʝuros;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gɛly;;gɛly;;;;;;;;;;;;;;;
